urutan,provinsi,value,kategori
1,SULAWESI TENGAH,12.30,tinggi
2,GORONTALO,10.30,tinggi
3,NUSA TENGGARA BARAT,9.70,tinggi
4,MALUKU UTARA,9.30,tinggi
5,NUSA TENGGARA TIMUR,8.80,tinggi
6,BANTEN,8.70,tinggi
7,SUMATERA BARAT,8.20,tinggi
8,SUMATERA UTARA,7.90,tinggi
9,JAWA BARAT,7.80,tinggi
10,SULAWESI SELATAN,7.80,tinggi
11,PAPUA BARAT,7.40,tinggi
12,RIAU,6.60,sedang
13,SULAWESI UTARA,6.60,sedang
14,KEP. BANGKA BELITUNG,6.50,sedang
15,SULAWESI TENGGARA,6.30,sedang
16,KALIMANTAN BARAT,6.20,sedang
17,KALIMANTAN TIMUR,6.20,sedang
18,INDONESIA,6.10,sedang
19,DKI JAKARTA,5.90,sedang
20,KALIMANTAN UTARA,5.70,sedang
21,DI YOGYAKARTA,5.50,sedang
22,MALUKU,5.30,sedang
23,BALI,5.10,sedang
24,BENGKULU,4.80,rendah
25,KALIMANTAN SELATAN,4.80,rendah
26,JAWA TIMUR,4.50,rendah
27,ACEH,4.40,rendah
28,JAWA TENGAH,4.40,rendah
29,SULAWESI BARAT,4.30,rendah
30,PAPUA,4.00,rendah
31,KALIMANTAN TENGAH,3.90,rendah
32,KEP. RIAU,3.70,rendah
33,SUMATERA SELATAN,3.40,rendah
34,LAMPUNG,3.20,rendah
35,JAMBI,1.80,rendah
